"official_district";"district";"gender";"nationality";"age";"quantity"
"Mitte";"Tiergarten";"m";"A";"40_45";"169"
"Mitte";"Tiergarten";"m";"A";"45_50";"138"
"Mitte";"Tiergarten";"m";"A";"50_55";"131"
"Mitte";"Tiergarten";"m";"A";"55_60";"86"
"Mitte";"Tiergarten";"m";"A";"60_65";"78"
"Mitte";"Tiergarten";"m";"A";"65_70";"44"
"Mitte";"Tiergarten";"m";"A";"70_75";"45"
"Mitte";"Tiergarten";"m";"A";"75_80";"26"
"Mitte";"Tiergarten";"m";"A";"80_85";"15"
"Mitte";"Tiergarten";"m";"A";"85_90";"9"
"Mitte";"Tiergarten";"m";"A";"95 und älter";"3"
"Mitte";"Tiergarten";"m";"D";"00_05";"229"
"Mitte";"Tiergarten";"m";"D";"05_10";"171"
"Mitte";"Tiergarten";"m";"D";"10_15";"183"
"Mitte";"Tiergarten";"m";"D";"15_20";"167"
"Mitte";"Tiergarten";"m";"D";"20_25";"316"
"Mitte";"Tiergarten";"m";"D";"25_30";"441"
"Mitte";"Tiergarten";"m";"D";"30_35";"305"
"Mitte";"Tiergarten";"m";"D";"35_40";"253"
"Mitte";"Tiergarten";"m";"D";"40_45";"343"
"Mitte";"Tiergarten";"m";"D";"45_50";"430"
"Mitte";"Tiergarten";"m";"D";"50_55";"405"
"Mitte";"Tiergarten";"m";"D";"55_60";"313"
"Mitte";"Tiergarten";"m";"D";"60_65";"322"
"Mitte";"Tiergarten";"m";"D";"65_70";"268"
"Mitte";"Tiergarten";"m";"D";"70_75";"219"
"Mitte";"Tiergarten";"m";"D";"75_80";"108"
"Mitte";"Tiergarten";"m";"D";"80_85";"65"
"Mitte";"Tiergarten";"m";"D";"85_90";"15"
"Mitte";"Tiergarten";"m";"D";"90_95";"12"
"Mitte";"Tiergarten";"m";"D";"95 und älter";"3"
"Mitte";"Tiergarten";"f";"A";"00_05";"32"
"Mitte";"Tiergarten";"f";"A";"05_10";"40"
"Mitte";"Tiergarten";"f";"A";"10_15";"48"
"Mitte";"Tiergarten";"f";"A";"15_20";"76"
"Mitte";"Tiergarten";"f";"A";"20_25";"254"
"Mitte";"Tiergarten";"f";"A";"25_30";"266"
"Mitte";"Tiergarten";"f";"A";"30_35";"222"
"Mitte";"Tiergarten";"f";"A";"35_40";"143"
"Mitte";"Tiergarten";"f";"A";"40_45";"145"
"Mitte";"Tiergarten";"f";"A";"45_50";"143"
"Mitte";"Tiergarten";"f";"A";"50_55";"128"
"Mitte";"Tiergarten";"f";"A";"55_60";"93"
"Mitte";"Tiergarten";"f";"A";"60_65";"73"
"Mitte";"Tiergarten";"f";"A";"65_70";"39"
"Mitte";"Tiergarten";"f";"A";"70_75";"33"
"Mitte";"Tiergarten";"f";"A";"75_80";"25"
"Mitte";"Tiergarten";"f";"A";"80_85";"30"
"Mitte";"Tiergarten";"f";"A";"85_90";"6"
"Mitte";"Tiergarten";"f";"D";"00_05";"197"
"Mitte";"Tiergarten";"f";"D";"05_10";"195"
"Mitte";"Tiergarten";"f";"D";"10_15";"157"
"Mitte";"Tiergarten";"f";"D";"15_20";"151"
"Mitte";"Tiergarten";"f";"D";"20_25";"322"
"Mitte";"Tiergarten";"f";"D";"25_30";"328"
"Mitte";"Tiergarten";"f";"D";"30_35";"284"
"Mitte";"Tiergarten";"f";"D";"35_40";"200"
"Mitte";"Tiergarten";"f";"D";"40_45";"239"
"Mitte";"Tiergarten";"f";"D";"45_50";"297"
"Mitte";"Tiergarten";"f";"D";"50_55";"290"
"Mitte";"Tiergarten";"f";"D";"55_60";"308"
"Mitte";"Tiergarten";"f";"D";"60_65";"273"
"Mitte";"Tiergarten";"f";"D";"65_70";"205"
"Mitte";"Tiergarten";"f";"D";"70_75";"206"
"Mitte";"Tiergarten";"f";"D";"75_80";"136"
"Mitte";"Tiergarten";"f";"D";"80_85";"89"
"Mitte";"Tiergarten";"f";"D";"85_90";"58"
"Mitte";"Tiergarten";"f";"D";"90_95";"18"
"Mitte";"Tiergarten";"f";"D";"95 und älter";"6"
"Mitte";"Wedding";"m";"A";"00_05";"314"
"Mitte";"Wedding";"m";"A";"05_10";"326"
"Mitte";"Wedding";"m";"A";"10_15";"446"
"Mitte";"Wedding";"m";"A";"15_20";"599"
"Mitte";"Wedding";"m";"A";"20_25";"1229"
"Mitte";"Wedding";"m";"A";"25_30";"1660"
"Mitte";"Wedding";"m";"A";"30_35";"1695"
"Mitte";"Wedding";"m";"A";"35_40";"1500"
"Mitte";"Wedding";"m";"A";"40_45";"1304"
"Mitte";"Wedding";"m";"A";"45_50";"1234"
"Mitte";"Wedding";"m";"A";"50_55";"791"
"Mitte";"Wedding";"m";"A";"55_60";"522"
"Mitte";"Wedding";"m";"A";"60_65";"432"
"Mitte";"Wedding";"m";"A";"65_70";"392"
"Mitte";"Wedding";"m";"A";"70_75";"307"
"Mitte";"Wedding";"m";"A";"75_80";"131"
"Mitte";"Wedding";"m";"A";"80_85";"24"
"Mitte";"Wedding";"m";"A";"85_90";"6"
"Mitte";"Wedding";"m";"A";"95 und älter";"3"
"Mitte";"Wedding";"m";"D";"00_05";"1632"
"Mitte";"Wedding";"m";"D";"05_10";"1295"
"Mitte";"Wedding";"m";"D";"10_15";"1127"
"Mitte";"Wedding";"m";"D";"15_20";"1119"
"Mitte";"Wedding";"m";"D";"20_25";"2547"
"Mitte";"Wedding";"m";"D";"25_30";"2901"
"Mitte";"Wedding";"m";"D";"30_35";"2302"
"Mitte";"Wedding";"m";"D";"35_40";"1626"
"Mitte";"Wedding";"m";"D";"40_45";"1912"
"Mitte";"Wedding";"m";"D";"45_50";"2269"
"Mitte";"Wedding";"m";"D";"50_55";"2092"
"Mitte";"Wedding";"m";"D";"55_60";"1673"
"Mitte";"Wedding";"m";"D";"60_65";"1393"
"Mitte";"Wedding";"m";"D";"65_70";"1188"
"Mitte";"Wedding";"m";"D";"70_75";"1246"
"Mitte";"Wedding";"m";"D";"75_80";"744"
"Mitte";"Wedding";"m";"D";"80_85";"416"
"Mitte";"Wedding";"m";"D";"85_90";"143"
"Mitte";"Wedding";"m";"D";"90_95";"59"
"Mitte";"Wedding";"m";"D";"95 und älter";"9"
"Mitte";"Wedding";"f";"A";"00_05";"336"
"Mitte";"Wedding";"f";"A";"05_10";"247"
"Mitte";"Wedding";"f";"A";"10_15";"389"
"Mitte";"Wedding";"f";"A";"15_20";"612"
"Mitte";"Wedding";"f";"A";"20_25";"1137"
"Mitte";"Wedding";"f";"A";"25_30";"1468"
"Mitte";"Wedding";"f";"A";"30_35";"1279"
"Mitte";"Wedding";"f";"A";"35_40";"1047"
"Mitte";"Wedding";"f";"A";"40_45";"964"
"Mitte";"Wedding";"f";"A";"45_50";"770"
"Mitte";"Wedding";"f";"A";"50_55";"593"
"Mitte";"Wedding";"f";"A";"55_60";"503"
"Mitte";"Wedding";"f";"A";"60_65";"594"
"Mitte";"Wedding";"f";"A";"65_70";"376"
"Mitte";"Wedding";"f";"A";"70_75";"235"
"Mitte";"Wedding";"f";"A";"75_80";"93"
"Mitte";"Wedding";"f";"A";"80_85";"29"
"Mitte";"Wedding";"f";"A";"85_90";"7"
"Mitte";"Wedding";"f";"A";"90_95";"7"
"Mitte";"Wedding";"f";"A";"95 und älter";"3"
"Mitte";"Wedding";"f";"D";"00_05";"1509"
"Mitte";"Wedding";"f";"D";"05_10";"1317"
"Mitte";"Wedding";"f";"D";"10_15";"1095"
"Mitte";"Wedding";"f";"D";"15_20";"1057"
"Mitte";"Wedding";"f";"D";"20_25";"2834"
"Mitte";"Wedding";"f";"D";"25_30";"2752"
"Mitte";"Wedding";"f";"D";"30_35";"1945"
"Mitte";"Wedding";"f";"D";"35_40";"1356"
"Mitte";"Wedding";"f";"D";"40_45";"1485"
"Mitte";"Wedding";"f";"D";"45_50";"2039"
"Mitte";"Wedding";"f";"D";"50_55";"1700"
"Mitte";"Wedding";"f";"D";"55_60";"1344"
"Mitte";"Wedding";"f";"D";"60_65";"1260"
"Mitte";"Wedding";"f";"D";"65_70";"1119"
"Mitte";"Wedding";"f";"D";"70_75";"1436"
"Mitte";"Wedding";"f";"D";"75_80";"1065"
"Mitte";"Wedding";"f";"D";"80_85";"797"
"Mitte";"Wedding";"f";"D";"85_90";"537"
"Mitte";"Wedding";"f";"D";"90_95";"277"
"Mitte";"Wedding";"f";"D";"95 und älter";"69"
"Mitte";"Gesundbrunnen";"m";"A";"00_05";"548"
"Mitte";"Gesundbrunnen";"m";"A";"05_10";"424"
"Mitte";"Gesundbrunnen";"m";"A";"10_15";"654"
"Mitte";"Gesundbrunnen";"m";"A";"15_20";"929"
"Mitte";"Gesundbrunnen";"m";"A";"20_25";"1419"
"Mitte";"Gesundbrunnen";"m";"A";"25_30";"1713"
"Mitte";"Gesundbrunnen";"m";"A";"30_35";"1818"
"Mitte";"Gesundbrunnen";"m";"A";"35_40";"1768"
"Mitte";"Gesundbrunnen";"m";"A";"40_45";"1650"
"Mitte";"Gesundbrunnen";"m";"A";"45_50";"1440"
"Mitte";"Gesundbrunnen";"m";"A";"50_55";"836"
"Mitte";"Gesundbrunnen";"m";"A";"55_60";"572"
"Mitte";"Gesundbrunnen";"m";"A";"60_65";"466"
"Mitte";"Gesundbrunnen";"m";"A";"65_70";"461"
"Mitte";"Gesundbrunnen";"m";"A";"70_75";"413"
"Mitte";"Gesundbrunnen";"m";"A";"75_80";"210"
"Mitte";"Gesundbrunnen";"m";"A";"80_85";"54"
"Mitte";"Gesundbrunnen";"m";"A";"85_90";"18"
"Mitte";"Gesundbrunnen";"m";"A";"90_95";"7"
"Mitte";"Gesundbrunnen";"m";"D";"00_05";"2315"
"Mitte";"Gesundbrunnen";"m";"D";"05_10";"1880"
"Mitte";"Gesundbrunnen";"m";"D";"10_15";"1575"
"Mitte";"Gesundbrunnen";"m";"D";"15_20";"1392"
"Mitte";"Gesundbrunnen";"m";"D";"20_25";"2596"
"Mitte";"Gesundbrunnen";"m";"D";"25_30";"2653"
"Mitte";"Gesundbrunnen";"m";"D";"30_35";"2105"
"Mitte";"Gesundbrunnen";"m";"D";"35_40";"1707"
"Mitte";"Gesundbrunnen";"m";"D";"40_45";"1761"
"Mitte";"Gesundbrunnen";"m";"D";"45_50";"2092"
"Mitte";"Gesundbrunnen";"m";"D";"50_55";"1822"
"Mitte";"Gesundbrunnen";"m";"D";"55_60";"1482"
